Category: All categories

Day,bitcoin: (Worldwide)
2018-02-12,100
2018-02-13,90
2018-02-14,94
2018-02-15,100
2018-02-16,87
2018-02-17,85
2018-02-18,86
2018-02-19,81
2018-02-20,91
2018-02-21,91
2018-02-22,85
2018-02-23,76
2018-02-24,66
2018-02-25,62
2018-02-26,69
2018-02-27,72
2018-02-28,68
2018-03-01,63
2018-03-02,64
2018-03-03,59
2018-03-04,54
2018-03-05,62
2018-03-06,62
2018-03-07,71
2018-03-08,71
2018-03-09,77
2018-03-10,57
2018-03-11,55
2018-03-12,64
2018-03-13,60
2018-03-14,69
2018-03-15,78
2018-03-16,65
2018-03-17,59
2018-03-18,71
2018-03-19,68
2018-03-20,62
2018-03-21,60
2018-03-22,59
2018-03-23,55
2018-03-24,48
2018-03-25,48
2018-03-26,66
2018-03-27,60
2018-03-28,55
2018-03-29,67
2018-03-30,75
2018-03-31,55
2018-04-01,58
2018-04-02,65
2018-04-03,57
2018-04-04,54
2018-04-05,60
2018-04-06,60
2018-04-07,49
2018-04-08,47
2018-04-09,55
2018-04-10,52
2018-04-11,48
2018-04-12,61
2018-04-13,60
2018-04-14,47
2018-04-15,45
2018-04-16,49
2018-04-17,48
2018-04-18,48
2018-04-19,49
2018-04-20,51
2018-04-21,46
2018-04-22,45
2018-04-23,50
2018-04-24,61
2018-04-25,55
2018-04-26,47
2018-04-27,45
2018-04-28,40
2018-04-29,41
2018-04-30,43
2018-05-01,42
2018-05-02,42
2018-05-03,45
2018-05-04,43
2018-05-05,42
2018-05-06,41
2018-05-07,46
2018-05-08,44
2018-05-09,41
2018-05-10,41
2018-05-11,49
2018-05-12,40
2018-05-13,37
2018-05-14,42
2018-05-15,40
2018-05-16,40
2018-05-17,38
2018-05-18,39
2018-05-19,31
2018-05-20,32
2018-05-21,37
2018-05-22,38
2018-05-23,46
2018-05-24,44
2018-05-25,38
2018-05-26,32
2018-05-27,33
2018-05-28,38
2018-05-29,40
2018-05-30,37
2018-05-31,35
2018-06-01,33
2018-06-02,31
2018-06-03,32
2018-06-04,34
2018-06-05,34
2018-06-06,33
2018-06-07,32
2018-06-08,32
2018-06-09,28
2018-06-10,40
2018-06-11,53
2018-06-12,43
2018-06-13,49
2018-06-14,42
2018-06-15,36
2018-06-16,31
2018-06-17,31
2018-06-18,35
2018-06-19,36
2018-06-20,35
2018-06-21,31
2018-06-22,41
2018-06-23,35
2018-06-24,41
2018-06-25,37
2018-06-26,34
2018-06-27,33
2018-06-28,34
2018-06-29,43
2018-06-30,37
2018-07-01,31
2018-07-02,37
2018-07-03,35
2018-07-04,33
2018-07-05,34
2018-07-06,31
2018-07-07,27
2018-07-08,30
